,year,name,alpha_2,abb,christian,islam,buddhist,judaism,nonrelig,other,pop
563,1954,Bolivia,BO,BOL,1.0025988780235418,0.0,0.0,0.0,0.0,0.00439303404030363,3020919
564,1955,Bolivia,BO,BOL,0.9977932258064516,0.0,0.0,0.0,0.0,0.0022067741935483873,3100000
565,1956,Bolivia,BO,BOL,0.9866990956830298,0.0,0.0,0.0,0.0,0.007622974018437506,3155199
566,1957,Bolivia,BO,BOL,0.9759616315340829,0.0,0.0,0.0,0.0,0.020475359314063753,3202630
567,1958,Bolivia,BO,BOL,0.9654540958866695,0.0,0.0,0.0,0.0,0.03579237723794735,3247563
568,1959,Bolivia,BO,BOL,0.9551277090781525,0.0,0.0,0.0,0.0,0.04881886514065797,3295263
569,1960,Bolivia,BO,BOL,0.945,0.0,0.0,0.0,0.0,0.055,3351000
570,1961,Bolivia,BO,BOL,0.9386391656782609,0.0,0.0,0.0,0.0,0.05604304553415164,3417962
571,1962,Bolivia,BO,BOL,0.9378500512170599,0.0,0.0,0.0,0.0,0.056551991397709125,3493953
572,1963,Bolivia,BO,BOL,0.9401475994948778,0.0,0.0,0.0,0.0,0.05653739593598057,3576164
573,1964,Bolivia,BO,BOL,0.9432295687647247,0.0,0.0,0.0,0.0,0.05601451533310412,3661783
574,1965,Bolivia,BO,BOL,0.945,0.0,0.0,0.0,0.0,0.055,3748000
575,1966,Bolivia,BO,BOL,0.9452708620874435,6.7797334991065095e-06,5.3977109012117206e-05,2.685817501569117e-05,0.0005337736335642701,0.05341100126494182,3834959
576,1967,Bolivia,BO,BOL,0.9454751559528866,2.242185029694938e-05,0.00017912000862222062,8.94326074344231e-05,0.0018447067744308354,0.05125380184129254,3924743
577,1968,Bolivia,BO,BOL,0.9460645165786837,4.032410624854385e-05,0.00032209502151614656,0.00016079859652197117,0.003524376668969953,0.04866646687150649,4017448
578,1969,Bolivia,BO,BOL,0.9474495085053661,5.4459239204428314e-05,0.00043518767042824414,0.00021735071361053085,0.00519793988477981,0.04577712361858305,4113168
579,1970,Bolivia,BO,BOL,0.95,5.935422602089269e-05,0.00047435897435897434,0.0002369420702754036,0.006524928774928775,0.04270441595441595,4212000
580,1971,Bolivia,BO,BOL,0.9549041797250968,5.1913126164424166e-05,0.0004148414992603538,0.00020718899460265717,0.007688009527912691,0.03690003548169472,4314901
581,1972,Bolivia,BO,BOL,0.9620104285718808,3.663432745028247e-05,0.0002926223439547254,0.00014608503415359551,0.008912091634664396,0.027775830479850893,4422082
582,1973,Bolivia,BO,BOL,0.9697633453590415,1.9415282298204615e-05,0.0001551016301777028,7.744050098488432e-05,0.009962466729266244,0.018173366115743324,4532512
583,1974,Bolivia,BO,BOL,0.9767558110472382,5.597222572048633e-06,4.456250278515642e-05,2.217361249696189e-05,0.010627188164199261,0.01066292427754388,4645161
584,1975,Bolivia,BO,BOL,0.9817209497793654,0.0,0.0,0.0,0.01071653708762345,0.007562513133011137,4759000
585,1976,Bolivia,BO,BOL,0.9849987766283302,1.3741140297247526e-05,8.531812483067122e-05,3.835213784455653e-05,0.009627822240507282,0.007452825332263849,4875869
586,1977,Bolivia,BO,BOL,0.987532174758498,4.563156791868615e-05,0.00028179494574346535,0.00012668764251108918,0.007459560523970483,0.007474570908154261,4996541
587,1978,Bolivia,BO,BOL,0.9890813044838237,8.225263594299522e-05,0.0005064105281811012,0.00022780658790862808,0.005026593390834634,0.0076100295074004905,5118377
588,1979,Bolivia,BO,BOL,0.9894331521893707,0.00011109535245382338,0.0006841335793719983,0.0003077074023291465,0.003064857352231251,0.007843293706142866,5238743
589,1980,Bolivia,BO,BOL,0.9883940242763772,0.00012138188608776844,0.0007469654528478057,0.0003361344537815126,0.002240896358543417,0.008160597572362278,5355000
590,1981,Bolivia,BO,BOL,0.9860456196040992,0.00010650662125312177,0.0007091291363502523,0.00030652678797075424,0.002585622081933604,0.00934714552189983,5464449
591,1982,Bolivia,BO,BOL,0.9828488591853523,7.559761169008427e-05,0.0006423103492053003,0.0002472634472618671,0.0034668956981008477,0.01181908503905308,5568959
592,1983,Bolivia,BO,BOL,0.9791688150974528,4.019218209173866e-05,0.000567978994296412,0.0001801596934112145,0.004534136471849167,0.015041219021831583,5672745
593,1984,Bolivia,BO,BOL,0.9753542375285899,1.1591655392195875e-05,0.0005058806024892648,0.00012525908214850467,0.005459496679942284,0.01850962453417116,5780020
594,1985,Bolivia,BO,BOL,0.9717387616624258,0.0,0.0004749787955894826,0.00010178117048346055,0.005937234944868533,0.02174724342663274,5895000
595,1986,Bolivia,BO,BOL,0.9677115610875179,1.8941788726279357e-05,0.0004944803793807663,0.0001342540814985414,0.006049907625548751,0.025588695008788825,6018439
596,1987,Bolivia,BO,BOL,0.9630861496127373,6.294573345848746e-05,0.0005526863108318873,0.00021209621816503264,0.006093212058971206,0.030324554382429977,6148153
597,1988,Bolivia,BO,BOL,0.95876398086044,0.00011330456585573274,0.000620788077813502,0.00030172114727874895,0.006096167568541306,0.034755857304993615,6283948
598,1989,Bolivia,BO,BOL,0.9555696415090258,0.00015329238585047472,0.0006727746030777687,0.0003722592760957721,0.006085318651294682,0.03778493903087153,6425629
599,1990,Bolivia,BO,BOL,0.9542522440286019,0.0001673512855621482,0.0006846188954815153,0.0003955575840559866,0.006085501293169025,0.03841472691312947,6573000
600,1991,Bolivia,BO,BOL,0.9582560131404944,0.0001463919076336915,0.0005992407833289787,0.0003461388354100177,0.006071028461856511,0.03467689894083597,6728514
601,1992,Bolivia,BO,BOL,0.9674580103124879,0.00010329316602548497,0.00042303774175605927,0.00024430574661083804,0.006027562446666924,0.027215718202315914,6893002
602,1993,Bolivia,BO,BOL,0.9775047028298521,5.478612741639382e-05,0.00022424089361128635,0.00012953309195348926,0.0059913655930662,0.018831280245623055,7063832
603,1994,Bolivia,BO,BOL,0.9844521733123802,1.5749391265304713e-05,6.46553957207246e-05,3.730118983887958e-05,0.005995544580102578,0.012060027285129605,7238375
604,1995,Bolivia,BO,BOL,0.9847423792824387,0.0,0.0,0.0,0.006069598057728621,0.009188022659832748,7414000
605,1996,Bolivia,BO,BOL,0.9782374158069371,2.1477317975777275e-05,6.311432705765223e-05,4.7434567308465145e-06,0.007897987219546414,0.011752836389481016,7589402
606,1997,Bolivia,BO,BOL,0.9685609740960556,7.158986936393946e-05,0.00021258070920838858,1.5837327215403872e-05,0.012106284689218849,0.01795656761083747,7766462
607,1998,Bolivia,BO,BOL,0.957913359472124,0.00013023258154950347,0.0003920818590417902,2.8437259352838443e-05,0.017233104996401304,0.025096384693204753,7947320
608,1999,Bolivia,BO,BOL,0.9483135110653669,0.00017863030755147638,0.0005501518419083667,3.847989419381425e-05,0.021938949004673892,0.030699210412241378,8134118
609,2000,Bolivia,BO,BOL,0.9416065554088126,0.00020002401248649297,0.0006398127026053548,4.2021851362708606e-05,0.025,0.032511586024732864,8329000
